"car_ids","market_ids","make","model","firm_ids","Genmodel_ID","Viz1","Viz2","Viz3","Viz4","Viz5","Viz6","Viz7","Viz8","Viz9","Viz10","Viz11","Viz12","Viz13","Viz14","Viz15","Viz16","Viz17","Viz18","Viz19","Viz20","clustering_ids","shares","quantity","trend","prices","mpg","hp","Gas_emission","wt","len","wid","Engine_size","Fuel_Type","hpwt","eswt","space","mpd","region","demand_instruments0","demand_instruments1","demand_instruments2","demand_instruments3","log_s_s0"
"16_10_2008",2008,"Chevrolet","Kalos",7,"16_10",1.648430247,-1.937234352,0.118534957,-0.183007154,-1.427051192,-1.125213446,-2.717002708,-0.318006393,-0.350561187,1.172460626,-0.049480825,0.394929607,1.208596227,-0.244688687,-1.422843474,-0.869180031,0.814551849,-2.740734833,0.311823063,-0.106186346,598,5.4e-05,1.398,0,5.932388,4.4,70,1.53,218.25738,3880,1990,1150,"Petrol",0.320722259196917,0.526900854394935,1.1967896861086,1.06795111583392,"United States",0.0669968754082707,10.49,9.33307350771844,240.87,-9.76764087747976
"16_11_2008",2008,"Chevrolet","Lacetti",7,"16_11",-0.336081683,1.236837113,-0.491257551,1.341315773,0.908889007,-0.262074703,-1.922710876,-0.238749308,-1.432216901,-0.948552876,0.103063083,-0.252625677,-1.475225096,-0.317631,0.997614986,-0.299761212,1.677821981,-0.097119351,1.715683867,-0.749138286,17,4.37e-05,1.13,0,9.338175,3.9,94,1.65,257.94054,4295,1725,1399,"Petrol",0.364425072538035,0.542373060085863,1.14837916200433,0.946593034489155,"United States",0.0419704533626207,9.64,7.53042420508607,172.42,-9.97927682194249
"16_11_2009",2009,"Chevrolet","Lacetti",7,"16_11",0.445753571,2.336179782,-1.036210549,1.394086273,-0.033300201,0.017796749,1.972894786,1.466195007,-0.44290784,-1.216241447,-1.60712671,1.507940998,-0.734581451,-1.436355048,-0.327868998,0.194054545,1.457917961,0.231958641,-1.197382463,1.371293837,17,3.96e-05,1.032,1,9.54765,3.9,94,1.65,257.94054,4295,1725,1399,"Petrol",0.364425072538035,0.542373060085863,1.14837916200433,0.994683191561185,"United States",0.496589382311267,12.39,8.61575896955139,219.87,-10.0750210107494
"16_11_2010",2010,"Chevrolet","Lacetti",7,"16_11",0.898663221,-2.019254357,-0.645036133,2.037050318,1.159591788,-0.342550839,-0.199649911,1.195798539,-0.559690288,-0.500487282,-1.103513113,1.863259739,-0.36576779,-0.624662115,0.35995235,0.166939179,0.808577355,1.346013638,0.453120457,0.187351902,17,1.33e-05,0.349,2,9.85635,3.9,94,1.65,257.94054,4295,1725,1399,"Petrol",0.364425072538035,0.542373060085863,1.14837916200433,0.820860903903196,"United States",0.0375691670974328,13.07,6.14319706001237,218.3349,-11.1625832507495
"16_11_2011",2011,"Chevrolet","Lacetti",7,"16_11",-0.574148669,-0.829176978,-0.67149566,1.131973081,-0.793251162,-0.280008049,-0.366540588,0.084396952,-0.909016392,0.169557936,1.169999335,-1.152457849,0.382178082,-1.806664839,0.401316192,1.993885581,-1.39544227,1.36761456,-1.227278275,-1.01375786,17,5.26e-06,0.139,3,10.29735,3.9,94,1.65,257.94054,4295,1725,1399,"Petrol",0.364425072538035,0.542373060085863,1.14837916200433,0.688476740955239,"United States",0.0511474230726826,16.25,6.30549672669378,247.1049,-12.091624144414
"16_12_2008",2008,"Chevrolet","Matiz",7,"16_12",0.08022534,-0.017989443,-1.964940815,0.394962954,0.456842917,-0.453494736,0.724884523,0.295039898,-0.230151234,0.189817946,-0.286917646,-1.208892741,-0.303557826,-1.063751164,-1.516553848,1.298058076,0.572851044,-0.243075715,0.291294025,-0.257933838,594,0.00014029,3.63,0,4.97189,4.2,62,1.58,175.487752,3495,1495,995,"Petrol",0.35330100986193,0.56699113679455,0.80988136943216,1.01940788329601,"United States",0.04217971228451,9.13,7.91207551942932,200.71,-8.81291321531335
"16_12_2009",2009,"Chevrolet","Matiz",7,"16_12",-1.172781533,1.933194441,1.235124072,-0.540153499,0.186585082,0.594838772,-0.492192842,0.785274481,-0.387687827,0.021054534,-1.611580633,-0.226334022,-2.320126524,0.446069088,-2.309330497,0.573612222,-0.232003879,0.218905686,0.388048772,0.249861181,594,0.000193073,5.028,1,5.08342,4.2,62,1.58,175.487752,3495,1495,995,"Petrol",0.35330100986193,0.56699113679455,0.80988136943216,1.07119728321974,"United States",0.513416618732309,12.66,8.999117192803,228.72,-8.49078177327703
"16_12_2010",2010,"Chevrolet","Matiz",7,"16_12",-1.65571822,-0.159734553,-0.688396155,-0.717719413,1.990472524,0.360988118,0.064638905,1.138413929,-0.135836913,1.67255138,0.725520858,-1.430720339,-1.203304118,2.167269337,2.774080012,-0.049710132,0.650797482,1.318158521,-0.028782004,0.644846638,594,4.48e-05,1.176,2,5.24778,4.2,62,1.58,175.487752,3495,1495,995,"Petrol",0.35330100986193,0.56699113679455,0.80988136943216,0.884004050357288,"United States",0.037194961030044,10.16,6.45594594794391,192.9069,-9.94813914655625
"16_13_2011",2011,"Chevrolet","Orlando",7,"16_13",1.497245658,0.962942236,1.574227939,-1.663116363,0.459814707,0.078298962,-0.92015979,1.467206901,-1.056830766,-1.413088593,1.137529944,-1.811678479,-0.301880489,0.293559552,-0.09227422,-0.655776776,-1.105417774,0.258500533,-0.997140566,-2.416375712,18,5.93e-05,1.566,3,16.69058,4,139,1.64,336.865936,4652,1836,1796,"Petrol",0.412627057667238,0.53314978098587,1.32387023751631,0.706129990723322,"United States",0.0897766754533019,14.06,5.50550919138694,225.8189,-9.66914586515993
"16_13_2012",2012,"Chevrolet","Orlando",7,"16_13",-0.534398004,2.115659319,2.056392084,0.50392405,0.12631596,0.54048219,0.494287873,-1.214331017,0.192069143,1.246079024,0.727460427,0.429708739,1.281214595,-1.139770166,1.174780561,1.082211484,-0.181248535,-0.793507179,-1.430887748,0.300252926,18,8.33e-05,2.218,4,17.17307,4,139,1.64,336.865936,4652,1836,1796,"Petrol",0.412627057667238,0.53314978098587,1.32387023751631,0.674477294155666,"United States",0.0879561813355009,9.45,6.45668003949437,289.7837,-9.32428488974258
