"file_name","V4","V6","V11","V18","V20"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",-0.26628917,0.95506966,1.5559875,0.82117367,1.049415
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",-1.1223358,-0.6017406,0.65226007,2.4937797,-0.44897032
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",-0.36864382,0.1089639,0.9946885,-0.299807,0.2646706
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",-1.2042376,1.7398301,-0.92676616,1.3344282,0.4163236
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",-1.182851,1.1307845,-0.62324667,1.3530236,0.39954144
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",-0.815324,0.98094165,-0.352586,1.642274,0.72411007
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",-1.1497356,0.8923578,-1.341354,1.4459726,-0.5193118
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",-1.0122312,1.1451101,-1.1204418,2.8134015,0.56107485
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",-1.4414631,0.20237097,0.55707127,0.8639666,-0.68725735
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",-1.4414631,0.20237097,0.55707127,0.8639666,-0.68725735
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",-1.4414631,0.20237097,0.55707127,0.8639666,-0.68725735
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",-1.4414631,0.20237097,0.55707127,0.8639666,-0.68725735
"Abarth$$595$$2019$$White$$2_4$$328$$image_88.jpg",-1.4414631,0.20237097,0.55707127,0.8639666,-0.68725735
"Abarth$$595$$2019$$White$$2_4$$341$$image_2.jpg",-1.6446952,1.4277053,0.3245205,3.2179701,0.23728164
"Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg",1.7420417,1.4834569,2.2089655,0.939299,0.28812128
"Alfa Romeo$$159$$2008$$Black$$4_4$$12$$image_0.jpg",1.5664736,-0.69558,0.42485788,-0.2652848,-0.0039212974
"Alfa Romeo$$Giulia$$2017$$Silver$$4_10$$23$$image_0.jpg",1.6626257,1.6626203,-1.1028234,-0.43225986,1.1438335
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg",2.0288098,2.347818,0.434101,-1.837994,0.4400723
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$85$$image_5.jpg",2.312271,1.4387718,-1.1644713,-1.5192691,1.1494592
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$39$$image_0.jpg",2.0329356,1.5247293,-0.69833004,-2.2289855,0.6069501
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$71$$image_2.jpg",1.8467554,0.8348795,-0.55422616,-1.8944117,0.13774857
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$94$$image_6.jpg",1.7286195,1.8534468,-1.4963534,-0.85998815,0.9339052
"Alfa Romeo$$Giulia$$2019$$Silver$$4_10$$166$$image_13.jpg",0.88982,0.25376114,-1.110116,0.029920394,-0.38068306
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$143$$image_7.jpg",1.5352273,1.3976862,1.1938441,-1.8127716,-0.2578406
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$149$$image_6.jpg",1.0928376,0.17215142,-0.65576816,-0.21320945,-0.32946008
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$180$$image_5.jpg",1.4575038,2.8044453,1.0707682,-0.61767983,0.33593744
"Alfa Romeo$$Giulietta$$2010$$White$$4_11$$226$$image_1.jpg",1.4984201,0.89446914,-0.63869023,-0.12648068,0.081056826
"Alfa Romeo$$Giulietta$$2011$$Silver$$4_11$$124$$image_1.jpg",1.2720543,1.9969363,0.473951,-0.5314027,-0.24588878
"Alfa Romeo$$Giulietta$$2013$$White$$4_11$$138$$image_1.jpg",1.1134979,1.416605,1.629588,-1.0789138,-0.6693691
"Alfa Romeo$$Giulietta$$2015$$Silver$$4_11$$64$$image_0.jpg",0.3317985,0.6033733,0.7633239,-0.8708849,-0.6298546
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$304$$image_9.jpg",1.1966356,1.0485399,-0.6593188,0.04615599,-0.4294488
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_12.jpg",1.1534678,0.813813,-0.9141939,0.33267507,-0.24385163
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_22.jpg",0.96886,0.99950564,-1.0376626,0.051843926,-0.1754511
"Alfa Romeo$$Giulietta$$2016$$White$$4_11$$125$$image_6.jpg",0.7113009,2.542849,-0.75412905,-0.90831137,-0.42496705
"Alfa Romeo$$Giulietta$$2017$$White$$4_11$$303$$image_2.jpg",1.1121215,1.2236555,-0.6592009,0.3748998,0.43036538
