"file_name","V6","V8","V10","V12","V16","V18"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",-0.55917805,-0.80860114,-0.56491524,-0.8132892,-1.126747,0
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",-0.25456578,-3.1040213,0.26616624,-1.2334523,-0.3112583,0
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",1.2233632,0.37521136,0.38252023,-0.5529189,-0.44660908,0
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",1.0014061,-0.686384,-1.6746961,-1.0504773,0.8254681,0
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",-0.08492166,-1.1278385,-1.3515391,-1.211743,0.48410428,0
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",0.8715744,-1.282656,-0.98778516,-0.6990349,0.58637464,0
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",-0.7331956,-1.3025539,-0.8140928,-1.0779206,1.5628573,0
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",0.3717088,-2.1020494,-1.489836,-1.0373855,1.0630608,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",0.59198153,-0.7731833,-0.25760564,-1.4496158,0.06688625,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",0.59198153,-0.7731833,-0.25760564,-1.4496158,0.06688625,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",0.59198153,-0.7731833,-0.25760564,-1.4496158,0.06688625,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",0.59198153,-0.7731833,-0.25760564,-1.4496158,0.06688625,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_88.jpg",0.59198153,-0.7731833,-0.25760564,-1.4496158,0.06688625,0
"Abarth$$595$$2019$$White$$2_4$$341$$image_2.jpg",0.15475035,-2.5792801,-2.0921254,-1.7550387,-0.1909711,0
"Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg",0.49750644,-0.64349854,-0.98893553,1.3430926,-1.8775592,0
"Alfa Romeo$$159$$2008$$Black$$4_4$$12$$image_0.jpg",-0.924908,0.14425634,1.4986017,1.6615479,-0.6938544,0
"Alfa Romeo$$Giulia$$2017$$Silver$$4_10$$23$$image_0.jpg",0.328906,0.77835256,-1.1251097,1.9275355,1.0134689,0
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg",0.53274035,1.8237522,-1.7155603,2.1693752,-0.43660653,0
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$85$$image_5.jpg",0.9428323,1.5792083,-0.84164137,2.526211,0.81717485,0
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$39$$image_0.jpg",0.40717918,2.0881898,-0.84387535,2.3907053,0.46279407,0
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$71$$image_2.jpg",-0.3945845,1.8232874,-0.2199253,2.1180723,0.6230126,0
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$94$$image_6.jpg",0.97838384,1.0229044,-1.351343,1.7318685,1.252557,0
"Alfa Romeo$$Giulia$$2019$$Silver$$4_10$$166$$image_13.jpg",-0.3835317,0.07929437,0.2804102,1.0017545,1.3782091,0
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$143$$image_7.jpg",0.30316177,1.8408728,-0.74015677,1.4953024,-1.067794,0
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$149$$image_6.jpg",-0.6603357,0.30308905,0.4215532,1.2139847,0.86929166,0
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$180$$image_5.jpg",1.027136,0.9251257,-2.382339,1.4998417,-0.84721935,0
"Alfa Romeo$$Giulietta$$2010$$White$$4_11$$226$$image_1.jpg",-0.34152764,0.350146,-0.33953077,1.4930022,0.7363683,0
"Alfa Romeo$$Giulietta$$2011$$Silver$$4_11$$124$$image_1.jpg",0.538922,0.7743511,-1.6558579,1.2409087,-0.501166,0
"Alfa Romeo$$Giulietta$$2013$$White$$4_11$$138$$image_1.jpg",0.00834352,1.1712444,-1.0974166,0.88947594,-1.7319257,0
"Alfa Romeo$$Giulietta$$2015$$Silver$$4_11$$64$$image_0.jpg",0.70066303,0.8090853,-0.097989365,-0.01295124,-0.63164246,0
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$304$$image_9.jpg",-0.5407887,0.15118007,-0.57485586,1.2049496,0.79514635,0
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_12.jpg",-0.33237836,-0.14655225,-0.5051946,1.3564502,1.1574246,0
