"beta","m","udr_values"
1,12,0.0167151720550978
1,10,0.0168049447801435
1,5,0.0169353248346656
1,50,0.0169631879952552
1,1,0.0169825692501446
1,16,0.0170173696896052
1,25,0.0171737371204554
1,40,0.0173682153540813
1,30,0.0174691869206517
1,35,0.0175177304508335
1,18,0.0175529245318319
1,14,0.0176175277863139
1,0,0.017697031496774
1,45,0.0179948061372961
1,20,0.0184949533577186
4,35,0.0328527872820829
4,30,0.0344356250047305
4,20,0.0350993770487195
4,50,0.0351726998173039
4,25,0.0359081178173
4,12,0.0361130264173496
4,16,0.0365254567049623
4,40,0.0365626660165464
4,1,0.0367515465008615
4,0,0.0370967425914322
4,10,0.0375404062509864
4,14,0.0375405859574201
4,5,0.0379954152927599
4,45,0.039937520544155
4,18,0.0407475622925694
6,25,0.0414246245464798
6,35,0.0422813142466754
6,20,0.0424595129483255
6,40,0.0429277465995646
6,12,0.0447765894251023
6,30,0.0461788898546932
6,50,0.0472457805829516
6,10,0.0477890030419595
6,18,0.0501723329588343
8,20,0.050179126544524
8,10,0.0509842866378702
6,5,0.0510786478940115
6,45,0.0511948988761407
6,14,0.0520161994488993
6,1,0.0521495439106444
8,16,0.0525397590099154
6,16,0.0529749825165016
6,0,0.0536089140944377
8,18,0.0542178886291138
8,50,0.0543544481784957
8,40,0.0546511469387664
8,45,0.0553790478522519
8,35,0.0557502588869844
12,35,0.0559545871809562
8,25,0.0573006591262175
8,30,0.0573560204982654
8,14,0.0577269583357302
8,12,0.059412500224516
10,30,0.0597425093813166
10,20,0.0602401991856671
10,35,0.0605976988643884
10,40,0.0613564343879453
8,0,0.061761091702264
10,5,0.0620514033451784
12,45,0.0627742549367536
12,20,0.0646541961735819
10,10,0.0647299242898359
10,18,0.0648105307242839
8,1,0.0649369805901753
10,45,0.0649702379803326
10,50,0.0655334089174624
8,5,0.0664859602752552
10,16,0.0667908067783237
10,0,0.0676581357678205
14,25,0.0679151083167496
10,25,0.0685494048905913
12,50,0.0695879194254761
12,12,0.0713979603334832
14,40,0.0721062576738595
12,40,0.0730908532795008
10,1,0.0731086165801118
12,1,0.0734688386586964
10,14,0.0742956219838758
12,18,0.0744585122866139
14,35,0.0745730267014235
12,25,0.0751105183886705
14,18,0.0761566250303642
14,45,0.0762156892285834
12,5,0.0763390191667292
14,20,0.0777711052230051
12,0,0.0778765056873699
20,30,0.0778933593230887
12,30,0.0783540955759437
16,20,0.0783784008948282
16,30,0.0786275452019956
14,0,0.0804428585080803
12,16,0.081212928182356
12,10,0.0814250400096128
12,14,0.0822147908483213
14,16,0.0826382371541428
10,12,0.0831071374339475
16,25,0.0836906275032998
14,14,0.0844827767849834
14,50,0.0847933380061927
16,35,0.0848134069890538
18,30,0.085415464498227
14,30,0.0861001500918533
18,40,0.0881666451920087
16,40,0.088202229558011
14,5,0.0886239212832939
20,35,0.0887409683958249
20,40,0.0903302331068045
18,1,0.0904345816566196
16,10,0.0906871571555943
18,0,0.0908869264025555
18,10,0.0911036274212149
14,1,0.091464671238745
16,14,0.0915760007658238
14,10,0.0924300265000285
16,45,0.092529501787197
18,35,0.0926293856769293
18,16,0.0926918939097419
22,45,0.0936111586159831
16,0,0.0941354592789482
18,5,0.0956010151022409
20,45,0.0961299594674573
18,20,0.0967700955442485
16,5,0.0971836404637509
22,1,0.0975651835340253
20,50,0.0983618004919443
20,18,0.0984364720414281
22,35,0.099072177259834
16,12,0.0998193185308426
24,30,0.100164410831798
18,25,0.100543267590275
16,1,0.100935408155966
18,50,0.101050671109087
26,40,0.101352710217679
18,12,0.101618876693229
16,16,0.101726048057367
20,20,0.101811152326434
20,16,0.101832297391057
28,40,0.102351533541481
26,14,0.102475146822531
18,45,0.102541887730214
14,12,0.10258913571641
20,0,0.102881386206234
16,18,0.103098449885193
22,40,0.103315436347412
24,45,0.103466381311919
24,1,0.103776329882421
20,1,0.103954628592348
20,12,0.10429203656036
46,40,0.104998017956343
20,10,0.105204535874596
20,25,0.105343739670671
24,12,0.105482266337519
22,30,0.10576655254878
26,25,0.10659066179185
32,30,0.106913912746954
16,50,0.107097420124834
24,25,0.107126933278206
22,5,0.107539396891317
22,0,0.107793128141264
28,0,0.109070371790303
22,20,0.109218928991015
26,16,0.109373439502538
28,30,0.109545578842882
30,25,0.10969269098432
22,18,0.110404741047931
24,10,0.110702012837635
38,30,0.111073007421265
48,50,0.111211761139643
22,50,0.111765098178235
26,30,0.112103109181304
24,5,0.112304657774006
18,14,0.112306353253835
26,50,0.112436177504451
48,45,0.112684796638521
26,45,0.113321917748796
44,40,0.113969023262405
20,5,0.113970513680167
36,25,0.114093554975237
24,35,0.114291014590544
30,45,0.114429916963945
26,0,0.114600552793876
30,40,0.115003013027799
42,40,0.115667946967773
22,12,0.115880111028405
50,45,0.116224372734135
24,16,0.116259637368856
50,50,0.117130955924103
18,18,0.117195404122077
40,30,0.11734530040958
50,40,0.117772490750852
48,40,0.117880309309065
44,50,0.117912879912425
26,18,0.117984415638212
22,25,0.118131533576112
28,25,0.118499809212662
28,50,0.118514601698697
24,40,0.118671213469909
30,35,0.118733744726938
40,40,0.118973952994397
22,16,0.119356348873819
26,35,0.119476222427322
28,16,0.119482937927087
22,10,0.119609508752216
20,14,0.119783275113382
36,50,0.119820066816724
42,30,0.119997869448874
50,0,0.120059020009291
34,0,0.12037121553251
38,40,0.120878351836599
32,20,0.121053076245991
40,35,0.121171166504199
34,50,0.121219979780746
30,0,0.121261387680798
28,10,0.121718204227135
24,50,0.121793993335224
46,50,0.122044419650377
28,35,0.122083853689036
36,18,0.122122567062491
32,40,0.122143629508143
26,10,0.122144697724983
32,14,0.122882501653353
50,20,0.123022850659107
26,20,0.123090350353791
32,45,0.123757781298026
30,50,0.123781946503721
30,30,0.124126861317213
26,1,0.124199597419219
44,35,0.124245363865345
34,30,0.124673165134403
42,25,0.124903817983533
32,50,0.125371217245355
30,10,0.125642698791002
38,35,0.125656482248949
