"file_name","V2","V6","V8","V13","V17"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",-0.91142,-0.16642304,-1.128887,0.723476,-0.084197514
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",-0.768263,0.4287851,-1.8836969,0.60964745,-2.4309626
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",0.9580163,-0.67464757,0.32753828,0.3576046,-0.0716775
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",0.98263687,1.7267334,-0.26159364,1.1868907,0.5592053
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",-0.38356462,1.5638182,-0.64612234,1.0655658,-0.021733042
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",0.7504313,1.4842988,-0.5968716,0.7007013,-0.30838355
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",-0.9101449,2.764466,0.4473589,0.87639356,-0.6046727
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",0.26782283,2.0358593,-0.9955418,1.0767748,-0.66913223
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",0.6756718,0.33808088,-0.2378082,1.3641905,-0.56998175
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",0.6756718,0.33808088,-0.2378082,1.3641905,-0.56998175
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",0.6756718,0.33808088,-0.2378082,1.3641905,-0.56998175
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",0.6756718,0.33808088,-0.2378082,1.3641905,-0.56998175
"Abarth$$595$$2019$$White$$2_4$$328$$image_88.jpg",0.6756718,0.33808088,-0.2378082,1.3641905,-0.56998175
"Abarth$$595$$2019$$White$$2_4$$341$$image_2.jpg",-0.13335718,1.5835159,-2.2919493,1.6409034,-0.10025231
"Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg",0.51797855,-0.6207586,-1.7788891,-1.3602791,0.66645
"Alfa Romeo$$159$$2008$$Black$$4_4$$12$$image_0.jpg",-1.1981735,-1.0379244,1.0187017,-1.8052521,-0.69677335
"Alfa Romeo$$Giulia$$2017$$Silver$$4_10$$23$$image_0.jpg",-0.35028526,1.2021317,0.57643497,-1.7026391,1.523378
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg",0.2272926,-0.4538247,0.08015844,-1.9094267,2.4568853
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$85$$image_5.jpg",0.7971455,0.48988113,0.86902475,-1.8745167,1.6320785
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$39$$image_0.jpg",0.31488913,-0.4519666,1.0975082,-1.854999,1.9284264
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$71$$image_2.jpg",-0.33763003,-0.5328167,1.7002288,-2.047462,1.2525113
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$94$$image_6.jpg",0.78412205,1.0228719,0.71780413,-1.5047143,1.5818689
"Alfa Romeo$$Giulia$$2019$$Silver$$4_10$$166$$image_13.jpg",-0.6706469,0.6290926,1.4101237,-1.2729353,-0.42117247
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$143$$image_7.jpg",0.38408265,-1.3797426,0.07099116,-1.5095421,1.5893986
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$149$$image_6.jpg",-0.89704263,0.047053102,1.2989216,-1.2944804,-0.22026257
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$180$$image_5.jpg",0.51819104,-0.028076667,-1.2197338,-1.4250596,2.1474447
"Alfa Romeo$$Giulietta$$2010$$White$$4_11$$226$$image_1.jpg",-0.6163009,0.37700742,0.74515665,-1.651174,0.20971991
"Alfa Romeo$$Giulietta$$2011$$Silver$$4_11$$124$$image_1.jpg",0.23192447,0.21072164,-0.70667624,-1.1711094,1.8729746
"Alfa Romeo$$Giulietta$$2013$$White$$4_11$$138$$image_1.jpg",-0.25676826,-1.2670248,-0.7949221,-0.93466157,1.5481647
"Alfa Romeo$$Giulietta$$2015$$Silver$$4_11$$64$$image_0.jpg",0.45133692,-0.8423548,0.1464302,-0.09809404,0.6214945
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$304$$image_9.jpg",-0.79040873,0.797143,0.64213854,-1.378304,0.34555674
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_12.jpg",-0.51246583,1.022916,0.96389633,-1.5595291,0.061097596
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_22.jpg",-0.835739,1.0908833,1.0376177,-1.3444076,0.27775452
"Alfa Romeo$$Giulietta$$2016$$White$$4_11$$125$$image_6.jpg",0.45410073,0.85638535,0.1985727,-0.56097907,1.9500138
"Alfa Romeo$$Giulietta$$2017$$White$$4_11$$303$$image_2.jpg",-0.7035381,1.152858,0.22936106,-1.4233061,0.48385054
"Alfa Romeo$$MiTo$$2009$$Silver$$4_14$$265$$image_1.jpg",-0.903928,-1.1467004,-1.2325045,-0.31022272,0.59581304
"Alfa Romeo$$MiTo$$2012$$White$$4_14$$288$$image_7.jpg",-1.3358647,-0.6324009,1.2383772,-1.8521452,-0.10937824
"Alfa Romeo$$MiTo$$2015$$White$$4_14$$106$$image_1.jpg",-1.2999288,0.20538817,-0.3275511,-0.88872,-0.10431511
"Alfa Romeo$$MiTo$$2017$$White$$4_14$$334$$image_12.jpg",-0.7255275,1.0897202,-0.82751703,-0.20754908,-0.16369912
"Alfa Romeo$$MiTo$$2017$$White$$4_14$$71$$image_0.jpg",0.32485965,0.27555013,-1.370726,-0.10744337,0.1122748
"Audi$$A1$$2010$$White$$7_1$$130$$image_2.jpg",-0.31943727,1.2407985,-1.5086102,-0.84150285,0.37600094
"Audi$$A1$$2011$$White$$7_1$$332$$image_0.jpg",-1.0788609,0.1241481,-0.23860022,-0.5552344,1.4829776
"Audi$$A1$$2012$$White$$7_1$$649$$image_0.jpg",-1.7479148,0.31134218,2.0647223,-0.81107014,1.0104951
"Audi$$A1$$2013$$Silver$$7_1$$10$$image_5.jpg",-1.6386298,0.0051026084,1.7297086,-0.8866493,0.59677714
"Audi$$A1$$2013$$Silver$$7_1$$156$$image_7.jpg",-0.25629672,1.8472066,0.08928777,-0.11449244,1.4833835
"Audi$$A1$$2013$$White$$7_1$$248$$image_0.jpg",-0.52213717,0.49293905,-0.19877067,-0.7166018,1.4549321
"Audi$$A1$$2013$$White$$7_1$$508$$image_0.jpg",-0.8532342,0.9222635,-0.65104353,0.120293655,0.7047882
"Audi$$A1$$2014$$Multicolour$$7_1$$92$$image_5.jpg",-0.38231942,1.5000114,-0.7171551,0.25922805,1.5306816
"Audi$$A1$$2014$$Silver$$7_1$$157$$image_15.jpg",0.69423544,0.4706258,0.55331635,-0.2995898,1.6862137
"Audi$$A1$$2014$$Silver$$7_1$$157$$image_5.jpg",0.69423544,0.4706258,0.55331635,-0.2995898,1.6862137
"Audi$$A1$$2015$$White$$7_1$$168$$image_0.jpg",-0.52764195,0.08138725,-0.4605406,-0.27161488,1.8930019
"Audi$$A1$$2015$$White$$7_1$$271$$image_5.jpg",0.38528034,1.7647208,-0.82905513,-1.1139181,1.3316981
"Audi$$A1$$2015$$White$$7_1$$563$$image_5.jpg",0.8012233,0.99862,0.26130942,0.2492439,2.364173
"Audi$$A1$$2016$$White$$7_1$$882$$image_2.jpg",0.5134109,2.5097234,0.045654487,-1.1775854,1.9749122
"Audi$$A1$$2017$$White$$7_1$$715$$image_5.jpg",-0.51274544,0.74505496,0.75291497,-0.07780719,1.7429492
"Audi$$A1$$2017$$White$$7_1$$870$$image_5.jpg",0.15447353,2.6877983,-0.28701696,-0.9959703,1.8506441
"Audi$$A1$$2017$$White$$7_1$$924$$image_0.jpg",-0.71766245,2.595942,-0.8381225,-0.30885497,1.1875265
"Audi$$A1$$2017$$White$$7_1$$974$$image_1.jpg",-1.2308604,0.9751904,0.6014179,-1.2841098,0.3385157
"Audi$$A3 Cabriolet$$2011$$White$$7_4$$58$$image_1.jpg",0.19648759,-1.0567846,2.1152847,-0.26533887,2.6301155
"Audi$$A3 Cabriolet$$2011$$White$$7_4$$58$$image_2.jpg",0.30389047,0.25890884,2.173702,-0.13486288,2.8691673
"Audi$$A3 Cabriolet$$2013$$White$$7_4$$570$$image_3.jpg",-1.0732713,-0.8360826,0.25027052,-1.3520246,2.6308787
"Audi$$A3 Cabriolet$$2014$$White$$7_4$$578$$image_2.jpg",0.29171404,-0.8064056,2.0020807,-1.2642939,1.325108
"Audi$$A3 Cabriolet$$2015$$Grey$$7_4$$358$$image_2.jpg",-0.42400056,-1.0976307,-2.2054503,-1.0631497,2.3576403
"Audi$$A3 Cabriolet$$2015$$Silver$$7_4$$644$$image_5.jpg",-1.500309,0.9330277,1.1386306,-0.7802307,-0.1454092
"Audi$$A3 Cabriolet$$2016$$White$$7_4$$553$$image_2.jpg",0.668356,-0.48112082,0.89185244,-1.2390394,2.9749498
"Audi$$A3$$2009$$Silver$$7_3$$824$$image_0.jpg",-1.0529165,-0.48473665,-1.3164285,-1.1306101,1.4923854
